Unique.ID,Catch Year,Age at Catch,Fish ID,Station-Transect,Converted Lat,Converted Long,Weight(Kg),Increment Number,Increment Width,R Detrended,Year of Increment Formation,Radius at age Ri (mm),Growth Rate,Otolith radius at capture: Rcpt,Fish length at capture: Lcpt (cm),Average fish length at hatching: L0p (cm),Biological Intercept,Back Calculated Weight (W=aL^b),Growth Rate (Biological Intercept),Length Increments,a,b,Pjan U,Pfeb U,Pmar U,Papr U,Pmay U,June U,July U,August U,September U,October U,November U,December U,January U,February U,March U,April U,May U,Pjan V,Pfeb V,Pmar V,Papr V,Pmay V,June V,July V,August V,September V,October V,November V,December V,January V,February V,March V,April V,May V,PJanuary Discharge,PFebruary Discharge,PMarch Discharge,PApril Discharge,PMay Discharge,June Discharge,July Discharge,August Discharge,September Discharge,October Discharge,November Discharge,December Discharge,January Discharge,February Discharge,March Discharge,April Discharge,May Discharge,Avg Discharge,Pjan MSLA,Pfeb MSLA,Pmar MSLA,Papr MSLA,Pmay MSLA,June MSLA,July MSLA,August MSLA,September MSLA,October MSLA,November MSLA,December MSLA,,,,,,June WSC,July WSC,August WSC,September WSC,October WSC,November WSC,December WSC
3,2011,3.5,PC1220_142,PC1220,28.8512,-89.4845,,3,0.253,1,2010,1.639,0.182539683,1.70,41,0.2,39.61246314,1.068,0.181581716,6.087517201,,,0.6999984,0.3299984,1.6899984,-1.6700015,-0.6100016,0.2799984,-0.3700016,1.3499984,-2.5400015,0.5399984,-0.7700016,0.5799984,0.5399984,0.1099984,-0.3200016,-0.4300016,-0.3500016,-1.6400015,-2.6300015,-0.3800016,2.1599984,2.5299984,2.1499984,1.1499984,0.2699984,0.2399984,-1.2700015,0.3999984,-1.0400016,-1.2400015,1.2799984,1.5799984,3.8799983,2.3199984,712419.3548,946964.2857,688967.7419,778366.6667,773258.0645,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,298677.4194,298677.4194,812612.9032,844533.3333,1399838.71,427.2047619,-0.0199,-0.0565,-0.054,-0.0381,0.0182,0.0881,0.1122,0.1379,0.1815,0.1681,0.0572,-0.0444,-0.1067,-0.1067,-0.0048,-0.0471,0.0011,-5.24499989,-6.29400015,-2.80900002,-6.33099985,-8.85400009,0.460000008,-3.16300011
4,2011,3.5,PC1220_142,PC1220,28.8512,-89.4845,1.28,3.5,0.056,NA,2011,1.695,0.034167175,1.70,41,0.2,40.95989778,1.180,0.034015422,1.347434637,,,0.5399984,0.1099984,-0.3200016,-0.4300016,-0.3500016,0.8399984,1.6399984,1.8999984,-0.6200016,-1.9800015,-1.1000015,-1.7400015,1.0899984,-1.5100015,-1.2300015,-0.3600016,0.1399984,-1.24000155,1.2799984,1.57999839,3.87999834,2.31999837,1.98999838,1.2599984,-0.08000157,-0.40000156,-1.99000153,0.25999842,-0.17000157,1.85999838,-0.20000157,2.85999836,0.87999841,0.58999841,298677.4194,308178.5714,812612.9032,844533.3333,1399838.71,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,626193.5484,626193.5484,618290.3226,567433.3333,400322.5806,523.8666667,-0.1067,-0.1067,-0.0048,-0.0471,0.0011,0.0522,0.0824,0.0963,0.1004,0.0657,0.0948,0.0804,0.0156,-0.0104,0.0081,0.0772,0.0531,-15.6949997,-7.40500021,-6.30499983,-6.33300018,1.25699997,-1.19400001,-2.91199994
9,2011,3.5,PC1510_1,PC1510,30.05563333,-88.36293333,,1,0.813,NA,2008,0.813,,1.62,43,0.2,21.67935723,0.177,,21.67935723,,,-1.420001542,0.499998415,-0.850001555,-1.020001551,0.589998413,1.1599984,2.159998378,2.279998375,-3.3100015,-1.820001533,0.25999842,-0.030001573,1.459998393,0.009998426,-1.020001551,-0.020001573,-0.690001559,-1.33000154,0.90999841,1.0799984,1.1399984,2.21999838,1.48999839,1.0499984,0.07999842,-0.09000157,-1.86000153,-1.00000155,1.1599984,0.10999842,0.83999841,1.77999839,1.84999838,1.49999839,480064.5161,609965.5172,886870.9677,1363266.667,1097096.774,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,589354.8387,589354.8387,571645.1613,766666.6667,1040258.065,467.7794163,0.0106,-0.0554,-0.056,0.0106,0.0441,0.0481,0.0559,-0.0065,0.1815,0.1885,0.0537,-0.0098,-0.1065,-0.0627,-0.0052,0.0057,0.0656,#N/A,#N/A,-148.354996,56.3030014,#N/A,#N/A,#N/A
10,2011,3.5,PC1510_1,PC1510,30.05563333,-88.36293333,,2,0.426,1,2009,1.239,0.52398524,1.62,43,0.2,32.94808405,0.617,0.519790633,11.26872682,,,1.459998393,0.009998426,-1.020001551,-0.020001573,-0.690001559,3.049998358,3.299998352,0.759998409,-1.240001546,0.019998426,-0.590001561,-0.950001553,1.1599984,0.789998408,1.839998385,-1.150001548,-0.64000156,0.1099984,0.8399984,1.7799984,1.8499984,1.4999984,0.2199984,1.6399984,0.3999984,1.1599984,0.3599984,-2.8600015,-1.0800015,-1.7100015,-2.6700015,-0.9400016,1.4399984,1.9199984,589354.8387,477714.2857,571645.1613,766666.6667,1040258.065,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,712419.3548,712419.3548,688967.7419,778366.6667,773258.0645,615.2190476,-0.1065,-0.0627,-0.0052,0.0057,0.0656,0.0149,0.0312,0.1086,0.2254,0.1573,0.1424,0.0572,-0.0439,-0.0386,-0.1148,-0.0316,0.0531,-11.6639996,12.0539999,-0.061999999,2.13400006,-28.0300007,-2.727,-74.0820007
11,2011,3.5,PC1510_1,PC1510,30.05563333,-88.36293333,,3,0.29,1,2010,1.529,0.234059726,1.62,43,0.2,40.61928307,1.151,0.232826862,7.671199011,,,1.1599984,0.78999841,1.83999838,-1.15000155,-0.64000156,0.34999842,0.09999842,1.1599984,-1.81000153,0.66999841,-0.76000156,1.1799984,0.90999841,0.43999842,-0.12000157,-0.06000157,0.33999842,-1.71000154,-2.67000151,-0.94000155,1.43999839,1.91999838,1.67999839,0.89999841,0.81999841,0.11999842,-1.47000154,0.04999842,-1.77000153,-1.41000154,0.45999842,1.51999839,2.68999837,1.2099984,712419.3548,946964.2857,688967.7419,778366.6667,773258.0645,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,298677.4194,298677.4194,812612.9032,844533.3333,1399838.71,427.2047619,-0.0439,-0.0386,-0.1148,-0.0316,0.0531,0.0685,0.1428,0.0868,0.2113,0.1573,0.0909,-0.0875,-0.1246,-0.1087,-0.0178,-0.0189,0.0431,-11.1560001,-8.58899975,-63.9309998,-4.70699978,-33.8860016,-33.3419991,#N/A
12,2011,3.5,PC1510_1,PC1510,30.05563333,-88.36293333,,3.5,0.09,NA,2011,1.619,0.058862001,1.62,43,0.2,43,1.364,0.058610511,2.380716934,,,0.90999841,0.43999842,-0.12000157,-0.06000157,0.33999842,1.2599984,1.40999839,1.89999838,-0.48000156,-1.76000153,-1.32000154,-1.34000154,1.40999839,-0.99000155,-1.13000155,0.21999842,0.07999842,-1.41000154,0.45999842,1.51999839,2.68999837,1.2099984,1.0599984,0.79999841,-0.49000156,-0.26000157,-2.61000152,-0.01000157,-0.44000156,1.48999839,-0.40000156,2.36999837,0.02999843,0.08999842,298677.4194,308178.5714,812612.9032,844533.3333,1399838.71,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,626193.5484,626193.5484,618290.3226,567433.3333,400322.5806,523.8666667,-0.1246,-0.1087,-0.0178,-0.0189,0.0431,0.025,0.0479,0.0235,0.1043,0.077,0.1026,0.0519,0.0164,-0.025,0.0299,0.0513,0.0815,-8.58399963,42.3889999,-11.2819996,-6.71000004,-28.2989998,-44.3540001,#N/A
5,2011,3.5,pC1510_2,PC1510,30.05563333,-88.36293333,,1,0.866,NA,2008,0.866,,1.58,42,0.2,23.14711233,0.216,,23.14711233,,,-1.420001542,0.499998415,-0.850001555,-1.020001551,0.589998413,1.1599984,2.159998378,2.279998375,-3.3100015,-1.820001533,0.25999842,-0.030001573,1.459998393,0.009998426,-1.020001551,-0.020001573,-0.690001559,-1.33000154,0.90999841,1.0799984,1.1399984,2.21999838,1.48999839,1.0499984,0.07999842,-0.09000157,-1.86000153,-1.00000155,1.1599984,0.10999842,0.83999841,1.77999839,1.84999838,1.49999839,480064.5161,609965.5172,886870.9677,1363266.667,1097096.774,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,589354.8387,589354.8387,571645.1613,766666.6667,1040258.065,467.7794163,0.0106,-0.0554,-0.056,0.0106,0.0441,0.0481,0.0559,-0.0065,0.1815,0.1885,0.0537,-0.0098,-0.1065,-0.0627,-0.0052,0.0057,0.0656,#N/A,#N/A,-148.354996,56.3030014,#N/A,#N/A,#N/A
6,2011,3.5,pC1510_2,PC1510,30.05563333,-88.36293333,,2,0.38,1,2009,1.246,0.438799076,1.58,42,0.2,33.22792469,0.633,0.435510582,10.08081235,,,1.459998393,0.009998426,-1.020001551,-0.020001573,-0.690001559,3.049998358,3.299998352,0.759998409,-1.240001546,0.019998426,-0.590001561,-0.950001553,1.1599984,0.789998408,1.839998385,-1.150001548,-0.64000156,0.1099984,0.8399984,1.7799984,1.8499984,1.4999984,0.2199984,1.6399984,0.3999984,1.1599984,0.3599984,-2.8600015,-1.0800015,-1.7100015,-2.6700015,-0.9400016,1.4399984,1.9199984,589354.8387,477714.2857,571645.1613,766666.6667,1040258.065,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,712419.3548,712419.3548,688967.7419,778366.6667,773258.0645,615.2190476,-0.1065,-0.0627,-0.0052,0.0057,0.0656,0.0149,0.0312,0.1086,0.2254,0.1573,0.1424,0.0572,-0.0439,-0.0386,-0.1148,-0.0316,0.0531,-11.6639996,12.0539999,-0.061999999,2.13400006,-28.0300007,-2.727,-74.0820007
7,2011,3.5,pC1510_2,PC1510,30.05563333,-88.36293333,,3,0.256,1,2010,1.502,0.205457464,1.58,42,0.2,40.0192088,1.101,0.204384841,6.791284113,,,1.1599984,0.78999841,1.83999838,-1.15000155,-0.64000156,0.34999842,0.09999842,1.1599984,-1.81000153,0.66999841,-0.76000156,1.1799984,0.90999841,0.43999842,-0.12000157,-0.06000157,0.33999842,-1.71000154,-2.67000151,-0.94000155,1.43999839,1.91999838,1.67999839,0.89999841,0.81999841,0.11999842,-1.47000154,0.04999842,-1.77000153,-1.41000154,0.45999842,1.51999839,2.68999837,1.2099984,712419.3548,946964.2857,688967.7419,778366.6667,773258.0645,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,298677.4194,298677.4194,812612.9032,844533.3333,1399838.71,427.2047619,-0.0439,-0.0386,-0.1148,-0.0316,0.0531,0.0685,0.1428,0.0868,0.2113,0.1573,0.0909,-0.0875,-0.1246,-0.1087,-0.0178,-0.0189,0.0431,-11.1560001,-8.58899975,-63.9309998,-4.70699978,-33.8860016,-33.3419991,#N/A
8,2011,3.5,pC1510_2,PC1510,30.05563333,-88.36293333,1.228,3.5,0.073,NA,2011,1.575,0.048601864,1.58,42,0.2,41.95578591,1.268,0.048391189,1.93657711,,,0.90999841,0.43999842,-0.12000157,-0.06000157,0.33999842,1.2599984,1.40999839,1.89999838,-0.48000156,-1.76000153,-1.32000154,-1.34000154,1.40999839,-0.99000155,-1.13000155,0.21999842,0.07999842,-1.41000154,0.45999842,1.51999839,2.68999837,1.2099984,1.0599984,0.79999841,-0.49000156,-0.26000157,-2.61000152,-0.01000157,-0.44000156,1.48999839,-0.40000156,2.36999837,0.02999843,0.08999842,298677.4194,308178.5714,812612.9032,844533.3333,1399838.71,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,626193.5484,626193.5484,618290.3226,567433.3333,400322.5806,523.8666667,-0.1246,-0.1087,-0.0178,-0.0189,0.0431,0.025,0.0479,0.0235,0.1043,0.077,0.1026,0.0519,0.0164,-0.025,0.0299,0.0513,0.0815,-8.58399963,42.3889999,-11.2819996,-6.71000004,-28.2989998,-44.3540001,#N/A
21,2011,4.5,BR0520_2,BR0520,29.0935,-84.58155,,1,0.826666667,NA,2007,0.827,,1.77,42,0.2,19.70981722,0.134,,19.70981722,,,-0.5300016,1.2599984,-1.5900015,0.7699984,-2.8000015,0.4899984,2.0799984,0.8699984,-2.4500015,-3.1800015,-0.3500016,-0.5200016,-0.7400016,1.0299984,-0.5300016,-0.7500016,0.9899984,-1.30000154,-0.96000155,0.23999842,-0.42000156,-0.62000156,0.52999841,0.53999841,1.0999984,-0.44000156,-1.15000155,-1.87000153,0.04999842,-1.37000154,0.50999841,0.46999842,0.45999842,1.76999839,754000,579785.7143,562225.8065,635533.3333,628935.4839,400.9,481.6451613,300.0645161,290.9333333,200.6129032,247.6333333,377.0967742,480064.5161,480064.5161,886870.9677,1363266.667,1097096.774,328.4122888,-0.0088,-0.065,-0.0441,-0.0341,0.0652,0.0421,0.0264,0.1063,0.1498,0.1175,0.0675,0.0478,0.0098,-0.0806,-0.0531,0.0156,0.0004,-2.06399989,-8.45199966,-3.05999994,6.41300011,-6.33699989,-2.70499992,-4.37200022
22,2011,4.5,BR0520_2,BR0520,29.0935,-84.58155,,2,0.436666667,1.0493992,2008,1.263,0.528225806,1.77,42,0.2,30.0278877,0.468,0.523499044,10.31807047,,,-0.7400016,1.0299984,-0.5300016,-0.7500016,0.9899984,1.3999984,2.1899984,1.8199984,-2.8100015,-1.6300015,0.6499984,0.2099984,1.8699984,0.6899984,-0.6700016,0.2299984,-0.6100016,-1.3700015,0.5099984,0.4699984,0.4599984,1.7699984,1.6299984,1.0999984,0.3799984,-0.5400016,-2.0000015,-1.4200015,1.1799984,0.2199984,0.3499984,1.5199984,1.7099984,1.4599984,480064.5161,609965.5172,886870.9677,1363266.667,1097096.774,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,589354.8387,589354.8387,571645.1613,766666.6667,1040258.065,467.7794163,0.0098,-0.0806,-0.0531,0.0156,0.0004,0.0738,0.0669,0.075,0.246,0.185,0.0644,0.0715,-0.104,-0.0918,0.0411,-0.0172,-0.0175,-3.02900004,-7.34499979,-4.70100021,2.86599994,-6.80499983,-10.3900003,-7.80800009
23,2011,4.5,BR0520_2,BR0520,29.0935,-84.58155,,3,0.253333333,0.8603774,2009,1.517,0.200527704,1.77,42,0.2,36.01394385,0.805,0.199349891,5.986056152,,,1.86999838,0.68999841,-0.67000156,0.22999842,-0.61000156,3.04999836,3.39999835,0.42999842,-1.90000153,0.07999842,-0.19000157,-0.66000156,1.40999839,1.2399984,1.85999838,-0.65000156,-0.54000156,0.2199984,0.3499984,1.5199984,1.7099984,1.4599984,0.2599984,1.7599984,1.0399984,0.6099984,0.2199984,-2.7600015,-1.3300015,-1.4900015,-2.4900015,-0.7900016,1.1699984,1.7199984,589354.8387,477714.2857,571645.1613,766666.6667,1040258.065,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,712419.3548,712419.3548,688967.7419,778366.6667,773258.0645,615.2190476,-0.104,-0.0918,0.0411,-0.0172,-0.0175,0.0612,0.1003,0.1093,0.2098,0.1547,0.1812,0.0615,-0.0533,-0.094,-0.0711,-0.0521,0.0098,-2.64100003,-3.16499996,-7.88199997,-0.159999996,-6.09899998,-8.35400009,-4.33300018
