Catch Date,Year,Station,Fish ID,Fish Number,Rings,Edgecode,Age,birthdate assumed to be Jan 1,Weight (kg),Somatic Weight,Fork Length (cm),Sex,Notes,Total Aged,USED FOR INCREMENT ANALYSIS?,TOTAL # INC ANAYLSIS PER YEAR,
7/17/11,2011.00,BR-34-40,BR-34-40-40,40,6,2,6,6.6,4.216,,59,M,,,,,
7/17/11,2011.00,BR-34-40,BR-34-40-53,53,5,2,5,5.6,2.272,,51,M,,,,,
7/17/11,2011.00,BR-34-40,BR-34-40-54,54,5,2,5,5.6,3.872,,58,F,,17,,,
7/16/11,2011.00,BR-34-50,BR-34-50-7,7,7,2,7,7.6,3.75,3.681,61,F,,,,,
7/16/11,2011.00,BR-34-50,BR-34-50-8,8,7,2,7,7.6,4.935,4.613,63,M,,,,,
7/16/11,2011.00,BR-34-50,BR-34-50-9,9,7,6,8,8.6,9.972,9.635,74,M,,,,,
7/16/11,2011.00,BR-34-50,BR-34-50-10,10,6,2,6,6.6,5.85,5.442,68,F,,4,,,
7/10/11,2011.00,BR-04-40,BR-04-40-2,2,5,2,5,5.6,2.32,2.228,50,M,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-5,5,5,2,5,5.6,2.816,2.596,54,M,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-3,3,4,6,5,5.6,2.39,2.284,49,M,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-8,8,5,2,5,5.6,1.24,1.136,45,F,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-10,10,4,6,5,5.6,1.186,1.108,43,F,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-13,13,5,2,5,5.6,1.472,1.37,43,F,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-15,15,5,2,5,5.6,3.564,3.408,56,M,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-19,19,5,2,5,5.6,2.186,2.109,49,M,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-20,20,4,6,5,5.6,1.8,1.706,42,F,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-21,21,4,6,5,5.6,2.161,2.081,49,M,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-27,27,5,2,5,5.6,2.304,2.222,50,M,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-28,28,5,2,5,5.6,1.79,1.74,49,M,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-29,29,4,6,5,5.6,2.789,2.689,51,M,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-34,34,5,2,5,5.6,1.526,1.48,44,M,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-36,36,6,4,6,6.6,2.942,1.026,53,M,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-38,38,4,6,5,5.6,2.028,1.95,51,F,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-40,40,5,2,5,5.6,1.462,1.404,44,M,,,Y,,
7/10/11,2011.00,BR-04-40,BR-04-40-55,55,5,2,5,5.6,2.546,2.462,51,M,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-59,59,5,2,5,5.6,2.84,2.778,53,M,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-60,60,5,2,5,5.6,5.278,4.878,62,F,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-77,77,5,4,5,5.6,,,,U,length/weight missing,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-78,78,5,2,5,5.6,,,,U,length/weight missing,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-42,42,5,4,5,5.6,3.36,3.222,57,M,,,,,
7/10/11,2011.00,BR-04-40,BR-04-40-41,41,5,4,5,5.6,3.414,3.258,54,M,,24,,,
7/10/11,2011.00,BR-04-60,BR-04-60-5,5,6,4,6,6.6,3.614,3.416,59,F,,,,,
7/10/11,2011.00,BR-04-60,BR-04-60-9,9,5,4,5,5.6,2.13,1.976,48,F,,,,,
7/10/11,2011.00,BR-04-60,BR-04-60-4,4,6,4,6,6.6,3.802,3.526,59,M,,3,,,
8/7/11,2011.00,BR-4/5-10,BR-4/5-10-16,16,5,4,5,5.7,3.332,3.2,59,M,,1,Y,,
8/6/11,2011.00,BR-05-20,BR-05-20-2,2,4,4,4,4.7,1.162,1.108,42,F,,,Y,,
8/6/11,2011.00,BR-05-20,BR-05-20-3,3,7,4,7,7.7,8.2,7.848,73,U,,,,,
8/6/11,2011.00,BR-05-20,BR-05-20-9,9,4,4,4,4.7,1.322,1.278,41,M,,,,,
8/6/11,2011.00,BR-05-20,BR-05-20-10,10,5,4,5,5.7,1.92,1.846,49,M,,,,,
8/6/11,2011.00,BR-05-20,BR-05-20-11,11,7,2,7,7.7,7.4,7.066,69,M,,,,,
8/6/11,2011.00,BR-05-20,BR-05-20-19,19,4,4,4,4.7,1.926,,48,M,,,,,
8/6/11,2011.00,BR-05-20,BR-05-20-20,20,4,4,4,4.7,1.912,,46,M,,7,,,
8/5/11,2011.00,BR-05-60,BR-05-60-14,14,4,4,4,4.7,2.464,2.364,49,M,,,,,
8/5/11,2011.00,BR-05-60,BR-05-60-15,15,5,4,5,5.7,3.168,3.036,55,M,,2,,,
7/13/11,2011.00,PC-06-10,PC-06-10-1,1,5,4,5,5.6,,,65,F,weight missing,,,,
7/13/11,2011.00,PC-06-10,PC-06-10-2,2,6,4,6,6.6,,,66,M,weight missing,,Y,,
7/13/11,2011.00,PC-06-10,PC-06-10-3,3,6,4,6,6.6,,,69,M,weight missing,,,,
7/13/11,2011.00,PC-06-10,PC-06-10-4,4,6,4,6,6.6,,,67,M,weight missing,,Y,,
7/13/11,2011.00,PC-06-10,PC-06-10-5,5,7,4,7,7.6,,,76,M,weight missing,,,,
7/13/11,2011.00,PC-06-10,PC-06-10-6,6,7,4,7,7.6,,,70,F,weight missing,,Y,,
7/13/11,2011.00,PC-06-10,PC-06-10-7,7,6,4,6,6.6,,,69,M,weight missing,,Y,,
7/13/11,2011.00,PC-06-10,PC-06-10-8,8,5,4,5,5.6,,,53,F,weight missing,,,,
7/13/11,2011.00,PC-06-10,PC-06-10-9,9,7,4,7,7.6,,,75,F,weight missing,,Y,,
7/13/11,2011.00,PC-06-10,PC-06-10-10,10,6,4,6,6.6,,,65,M,weight missing,,,,
7/13/11,2011.00,PC-06-10,PC-06-10-11,11,4,4,4,4.6,,,51,F,weight missing,,Y,,
7/13/11,2011.00,PC-06-10,PC-06-10-12,12,6,4,6,6.6,,,72,M,weight missing,,Y,,
7/13/11,2011.00,PC-06-10,PC-06-10-13,13,5,4,5,5.6,,,61,F,weight missing,,Y,,
7/13/11,2011.00,PC-06-10,PC-06-10-14,14,5,4,5,5.6,,,53,F,weight missing,,Y,,
7/13/11,2011.00,PC-06-10,PC-06-10-15,15,4,4,4,4.6,,,43,F,weight missing,,,,
7/13/11,2011.00,PC-06-10,PC-06-10-16,16,5,4,5,5.6,,,57,F,weight missing,16,Y,,
7/13/11,2011.00,PC-06-20,PC-06-20-14,14,5,4,5,5.6,1.3,1.23,42,M,,,,,
7/13/11,2011.00,PC-06-20,PC-06-20-15,15,7,4,7,7.6,4.5,4.26,65,F,,2,Y,,
7/14/11,2011.00,PC-06-40,PC-06-40-3,3,5,4,5,5.6,1.64,1.58,46,F,,,,,
7/14/11,2011.00,PC-06-40,PC-06-40-10,10,6,4,6,6.6,2.98,2.89,54,M,,2,,,
7/18/11,2011.00,PC-07-10,PC-07-10-2,2,5,4,5,5.6,4.1,3.94,60,M,,,Y,,
7/18/11,2011.00,PC-07-10,PC-07-10-9,9,5,4,5,5.6,3.8,3.71,57,F,,,,,
7/18/11,2011.00,PC-07-10,PC-07-10-10,10,5,4,5,5.6,4.7,4.55,62,F,,3,,,
7/18/11,2011.00,PC-07-20,PC-07-20-6,6,4,4,4,4.6,0.85,0.8,38,F,,1,Y,,
7/19/11,2011.00,PC-08-10,PC-08-10-30,30,7,4,7,7.6,8,7.53,78,F,,1,,,
7/19/11,2011.00,PC-08-20,PC-08-20-3,3,5,4,5,5.6,6.2,5.96,68,M,,,,,
7/19/11,2011.00,PC-08-20,PC-08-20-6,6,16,4,16,16.6,11.2,10.86,83,M,,2,,,
7/19/11,2011.00,PC-08-40,PC-08-40-1,1,5,4,5,5.6,0.988,0.938,39,F,,,,,
7/19/11,2011.00,PC-08-40,PC-08-40-2,2,7,4,7,7.6,2.12,2.07,51,M,,,,,
7/19/11,2011.00,PC-08-40,PC-08-40-4,4,4,4,4,4.6,1.072,1.0496,39,F,,,,,
7/19/11,2011.00,PC-08-40,PC-08-40-5,5,5,4,5,5.6,1.01,0.958,39,F,,,,,
7/19/11,2011.00,PC-08-40,PC-08-40-6,6,7,4,7,7.6,1.496,1.454,44,M,,,,,
7/19/11,2011.00,PC-08-40,PC-08-40-10,10,4,4,4,4.6,0.916,0.872,38,F,,,,,
7/19/11,2011.00,PC-08-40,PC-08-40-11,11,6,4,6,6.6,2.17,2.12,51,M,,,,,
7/19/11,2011.00,PC-08-40,PC-08-40-12,12,7,4,7,7.6,3.602,3.444,60,F,,,,,
7/19/11,2011.00,PC-08-40,PC-08-40-13,13,4,4,4,4.6,1.22,1.182,41,M,,,,,
7/19/11,2011.00,PC-08-40,PC-08-40-27,27,8,4,8,8.6,2.736,2.568,53,M,,,,,
7/19/11,2011.00,PC-08-40,PC-08-40-37,37,7,4,7,7.6,1.77,1.722,48,M,,,,,
7/19/11,2011.00,PC-08-40,PC-08-40-38,38,4,4,4,4.6,1.054,1.021,41,M,,12,,,
8/2/11,2011.00,PC-09-10,PC-09-10-2,2,6,4,6,6.7,5.426,4.812,67,F,,,Y,,
8/2/11,2011.00,PC-09-10,PC-09-10-3,3,6,4,6,6.7,5.685,5.36,67,M,,,,,
8/2/11,2011.00,PC-09-10,PC-09-10-4,4,5,4,5,5.7,2.602,2.45,53,F,,3,Y,,
8/2/11,2011.00,PC-09-20,PC-09-20-12,12,4,4,4,4.7,0.782,0.694,36,M,,1,Y,,
8/1/11,2011.00,PC-09-40,PC-09-40-4,4,6,4,6,6.7,4.98,4.604,67,M,,1,,,
1-Aug,2011.00,PC-09-60,PC-09-60-41,41,4,4,4,4.7,1.352,1.314,43,M,,1,,,
8/17/11,2011.00,PC-10-10,PC-10-10-5,5,2,4,2,2.7,0.624,,32,F,,,,,
8/17/11,2011.00,PC-10-10,PC-10-10-6,6,2,4,2,2.7,0.118,,34,M,,,,,
8/17/11,2011.00,PC-10-10,PC-10-10-7,7,2,4,2,2.7,0.84,,36,M,,,,,
8/17/11,2011.00,PC-10-10,PC-10-10-10,10,4,4,4,4.7,2.852,2.732,54,F,,,Y,,
8/17/11,2011.00,PC-10-10,PC-10-10-11,11,4,4,4,4.7,3.64,3.47,61,M,,,Y,,
8/17/11,2011.00,PC-10-10,PC-10-10-18,18,2,4,2,2.7,0.17,,35,F,,,,,
8/17/11,2011.00,PC-10-10,PC-10-10-19,19,4,4,4,4.7,2.302,2.194,51,F,,,Y,,
8/17/11,2011.00,PC-10-10,PC-10-10-20,20,3,4,3,3.7,1.538,,45,F,,,Y,,
8/17/11,2011.00,PC-10-10,PC-10-10-21,21,4,4,4,4.7,3.228,3.078,55,F,,9,Y,,
8/17/11,2011.00,PC-10-20,PC-10-20-37,37,5,4,5,5.7,4.868,4.65,65,F,,,Y,,
8/17/11,2011.00,PC-10-20,PC-10-20-44,44,5,4,5,5.7,4.228,4.032,62,M,,,Y,,
8/17/11,2011.00,PC-10-20,PC-10-20-45,45,5,4,5,5.7,4.489,4.193,62,M,,,Y,,
8/17/11,2011.00,PC-10-20,PC-10-20-46,46,5,4,5,5.7,4.866,4.658,64,F,,,,,
8/17/11,2011.00,PC-10-20,PC-10-20-47,47,5,4,5,5.7,5.695,,71,M,,,,,
8/17/11,2011.00,PC-10-20,PC-10-20-48,48,5,4,5,5.7,4.098,3.938,62,F,,,,,
8/17/11,2011.00,PC-10-20,PC-10-20-49,49,5,4,5,5.7,1.428,,63,M,,,Y,,
8/17/11,2011.00,PC-10-20,PC-10-20-50,50,5,4,5,5.7,3.914,,58,F,,,Y,,
8/17/11,2011.00,PC-10-20,PC-10-20-51,51,5,4,5,5.7,4.645,,64,F,,,,,
8/17/11,2011.00,PC-10-20,PC-10-20-52,52,5,4,5,5.7,4.288,,61,F,,,,,
8/17/11,2011.00,PC-10-20,PC-10-20-53,53,5,4,5,5.7,4.29,,65,F,,,Y,,
8/17/11,2011.00,PC-10-20,PC-10-20-54,54,5,4,5,5.7,2.982,,57,F,,,Y,,
8/17/11,2011.00,PC-10-20,PC-10-20-55,55,5,4,5,5.7,1.21,,53,M,,,,,
8/17/11,2011.00,PC-10-20,PC-10-20-57,57,5,4,5,5.7,3.684,,58,M,,,,,
8/17/11,2011.00,PC-10-20,PC-10-20-58,58,4,4,4,4.7,2.258,,50,F,,,Y,,
8/17/11,2011.00,PC-10-20,PC-10-20-59,59,3,4,3,3.7,0.826,,36,F,,,Y,,
8/17/11,2011.00,PC-10-20,PC-10-20-60,60,3,4,3,3.7,1.274,,42,F,,,,,
8/17/11,2011.00,PC-10-20,PC-10-20-61,61,5,4,5,5.7,3.97,,62,M,,,Y,,
8/17/11,2011.00,PC-10-20,PC-10-20-62,62,5,4,5,5.7,4.76,,65,M,,,,,
8/17/11,2011.00,PC-10-20,PC-10-20-63,63,6,4,6,6.7,4.768,,66,F,,20,,,
8/17/11,2011.00,PC-10-40,PC-10-40-2,2,6,4,6,6.7,4.012,3.844,60,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-3,3,7,2,7,7.7,5.292,4.99,67,M,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-4,4,5,4,5,5.7,1.76,1.596,47,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-5,5,4,4,4,4.7,1.232,1.19,45,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-7,7,5,4,5,5.7,2.168,,53,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-9,9,5,4,5,5.7,2.212,,52,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-30,30,5,4,5,5.7,2.416,,54,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-31,31,7,4,7,7.7,4.708,,63,M,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-32,32,3,4,3,3.7,1.508,,44,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-33,33,7,4,7,7.7,5.21,,66,M,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-34,34,4,4,4,4.7,1.326,,43,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-35,35,5,4,5,5.7,2.508,,53,M,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-36,36,4,4,4,4.7,1.274,,40,M,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-37,37,5,4,5,5.7,1.824,,48,M,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-38,38,4,4,4,4.7,1.364,,44,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-39,39,7,4,7,7.7,7.86,,76,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-40,40,4,4,4,4.7,1.25,,42,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-42,42,6,4,6,6.7,6.65,,70,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-43,43,4,4,4,4.7,1.246,,43,M,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-45,45,3,4,3,3.7,1.53,,47,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-46,46,4,4,4,4.7,1.17,,42,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-47,47,4,4,4,4.7,1.23,,42,F,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-49,49,4,4,4,4.7,1.44,,45,M,,,,,
8/17/11,2011.00,PC-10-40,PC-10-40-50,50,4,4,4,4.7,1.348,,42,F,,24,,,
8/16/11,2011.00,PC-11-20,PC-11-20-136,136,7,4,7,7.7,4.846,4.57,65,F,,,,,
8/16/11,2011.00,PC-11-20,PC-11-20-137,137,6,4,6,6.7,4.828,4.588,63,M,,,Y,,
8/16/11,2011.00,PC-11-20,PC-11-20-139,139,7,4,7,7.7,4.6,4.424,61,M,,,,,
8/16/11,2011.00,PC-11-20,PC-11-20-140,140,6,4,6,6.7,5.048,4.802,66,M,,,,,
8/16/11,2011.00,PC-11-20,PC-11-20-145,145,7,4,7,7.7,4.68,,65,F,,,Y,,
8/16/11,2011.00,PC-11-20,PC-11-20-146,146,7,4,7,7.7,5.104,,63,F,,,Y,,
8/16/11,2011.00,PC-11-20,PC-11-20-147,147,5,4,5,5.7,2.754,,55,M,,,,,
8/16/11,2011.00,PC-11-20,PC-11-20-148,148,5,4,5,5.7,3.012,,53,M,,,,,
8/16/11,2011.00,PC-11-20,PC-11-20-149,149,7,4,7,7.7,4.338,,64,M,,,Y,,
8/16/11,2011.00,PC-11-20,PC-11-20-151,151,5,4,5,5.7,2.126,,50,F,,,,,
8/16/11,2011.00,PC-11-20,PC-11-20-152,152,4,4,4,4.7,2.458,,51,M,,,,,
8/16/11,2011.00,PC-11-20,PC-11-20-153,153,5,4,5,5.7,4.256,,61,F,,,,,
8/16/11,2011.00,PC-11-20,PC-11-20-154,154,5,4,5,5.7,2.102,,49,F,,,Y,,
8/16/11,2011.00,PC-11-20,PC-11-20-156,156,5,4,5,5.7,2.162,,49,F,,,,,
8/16/11,2011.00,PC-11-20,PC-11-20-159,159,7,4,7,7.7,5.502,,66,F,,15,,,
8/16/11,2011.00,PC-11-40,PC-11-40-73,73,7,4,7,7.7,4.836,4.658,63,M,,,,,
8/16/11,2011.00,PC-11-40,PC-11-40-110,110,5,4,5,5.7,5.818,5.538,69,F,,,,,
8/16/11,2011.00,PC-11-40,PC-11-40-111,111,7,4,7,7.7,7.185,6.635,71,F,,,,,
8/16/11,2011.00,PC-11-40,PC-11-40-112,112,7,4,7,7.7,4.335,4.092,63,M,,,,,
8/16/11,2011.00,PC-11-40,PC-11-40-113,113,23,4,23,23.7,11.296,10.511,79,F,,,,,
8/16/11,2011.00,PC-11-40,PC-11-40-114,114,6,4,6,6.7,4.655,,65,F,,,,,
8/16/11,2011.00,PC-11-40,PC-11-40-115,115,7,4,7,7.7,4.8,,65,F,,,,,
8/16/11,2011.00,PC-11-40,PC-11-40-117,117,7,4,7,7.7,6.715,,72,M,,8,Y,,
8/16/11,2011.00,PC-11-100,PC-11-100-21,21,5,4,5,5.7,2.046,1.938,48,M,,,,,
8/16/11,2011.00,PC-11-100,PC-11-100-22,22,7,4,7,7.7,5.358,5.064,66,M,,,,,
8/16/11,2011.00,PC-11-100,PC-11-100-25,25,5,4,5,5.7,1.134,1.048,46,F,,,,,
8/16/11,2011.00,PC-11-100,PC-11-100-26,26,6,4,6,6.7,3.61,,59,F,,,,,
8/16/11,2011.00,PC-11-100,PC-11-100-27,27,5,4,5,5.7,2.502,,50,F,,,,,
8/16/11,2011.00,PC-11-100,PC-11-100-28,28,6,4,6,6.7,4.316,,62,M,,,,,
8/16/11,2011.00,PC-11-100,PC-11-100-29,29,6,4,6,6.7,3.026,,58,M,,,,,
8/16/11,2011.00,PC-11-100,PC-11-100-30,30,5,2,5,5.7,2.22,,49,M,,,,,
8/16/11,2011.00,PC-11-100,PC-11-100-31,31,5,2,5,5.7,2.43,,52,F,,,,,
8/16/11,2011.00,PC-11-100,PC-11-100-32,32,5,2,5,5.7,1.674,,47,M,,10,,,
8/15/11,2011.00,PC-12-20,PC-12-20-7,7,5,4,5,5.7,3.696,3.574,56,F,,,Y,,
8/15/11,2011.00,PC-12-20,PC-12-20-8,8,5,4,5,5.7,4.96,4.664,65,F,,,Y,,
8/15/11,2011.00,PC-12-20,PC-12-20-9,9,7,4,7,7.7,3.092,2.944,57,F,,,Y,,
8/15/11,2011.00,PC-12-20,PC-12-20-10,10,4,4,4,4.7,2.026,1.954,49,F,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-18,18,6,4,6,6.7,3.44,3.306,60,M,,,Y,,
8/15/11,2011.00,PC-12-20,PC-12-20-20,20,5,4,5,5.7,4.14,4.01,63,M,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-21,21,4,4,4,4.7,1.902,,48,F,,,Y,,
8/15/11,2011.00,PC-12-20,PC-12-20-22,22,5,4,5,5.7,3.818,,59,M,,,Y,,
8/15/11,2011.00,PC-12-20,PC-12-20-23,23,5,4,5,5.7,2.334,,59,M,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-24,24,5,4,5,5.7,2.69,,55,M,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-25,25,5,4,5,5.7,3.12,,57,M,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-69,69,4,4,4,4.7,2.276,,49,F,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-70,70,5,4,5,5.7,2.118,,47,F,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-71,71,4,4,4,4.7,3.428,,59,M,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-72,72,5,4,5,5.7,1.946,,49,M,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-73,73,5,4,5,5.7,3.36,,58,M,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-74,74,5,4,5,5.7,2.628,,55,F,,,Y,,
8/15/11,2011.00,PC-12-20,PC-12-20-76,76,4,4,4,4.7,1.562,,45,F,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-77,77,6,4,6,6.7,3.828,,59,M,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-78,78,4,4,4,4.7,1.562,,45,M,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-79,79,5,4,5,5.7,3.686,,60,F,,,Y,,
8/15/11,2011.00,PC-12-20,PC-12-20-80,80,4,4,4,4.7,1.914,1.674,48,F,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-81,81,4,4,4,4.7,1.18,,48,F,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-91,91,5,4,5,5.7,3.218,,57,M,,,Y,,
8/15/11,2011.00,PC-12-20,PC-12-20-109,109,5,4,5,5.7,2.644,,54,F,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-110,110,5,4,5,5.7,4.262,4.079,64,F,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-111,111,5,4,5,5.7,3.278,,55,M,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-112,112,4,4,4,4.7,1.912,,49,M,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-113,113,5,4,5,5.7,3.92,,61,F,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-116,116,6,4,6,6.7,5.772,,70,F,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-126,126,4,4,4,4.7,1.112,,39,M,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-142,142,3,4,3,3.7,1.28,,41,F,,,Y,,
8/15/11,2011.00,PC-12-20,PC-12-20-143,143,2,4,2,2.7,0.526,,30,M,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-151,151,2,4,2,2.7,0.506,,29,F,,,,,
8/15/11,2011.00,PC-12-20,PC-12-20-197,197,6,4,6,6.7,5.482,,65,F,,35,,,
8/15/11,2011.00,PC-12-40,PC-12-40-179,179,6,4,6,6.7,3.082,2.952,59,F,,,,,
8/15/11,2011.00,PC-12-40,PC-12-40-180,180,7,4,7,7.7,3.596,3.443,58,F,,,,,
8/15/11,2011.00,PC-12-40,PC-12-40-181,181,6,4,6,6.7,3.84,3.736,63,F,,,,,
8/15/11,2011.00,PC-12-40,PC-12-40-183,183,7,2,7,7.7,4.368,4.191,63,F,,,,,
8/15/11,2011.00,PC-12-40,PC-12-40-184,184,4,4,4,4.7,1.482,,46,M,,,,,
8/15/11,2011.00,PC-12-40,PC-12-40-185,185,4,4,4,4.7,1.302,,43,M,,,,,
8/15/11,2011.00,PC-12-40,PC-12-40-186,186,4,4,4,4.7,1.486,,44,M,,,,,
8/15/11,2011.00,PC-12-40,PC-12-40-187,187,5,2,5,5.7,1.066,,40,F,,,,,
